username	avr_words_pr_tweet	favourites_count	followers	friends_count	listed_count	recorded_tweets	retweet_count	statuses_count	advertiser
Hakima	5	4030	323	1121	13	2	0	8505	0
Dr. JulesWS	19	8687	547	1109	0	1	1	2699	0
Daragh O Brien	24	16151	5395	1127	489	1	1	71658	0
JOHNNY	24	58873	1573	4999	13	1	1	22752	0
𝐒𝐮𝐛𝐥𝐢𝐦𝐞𝐂𝐚𝐫𝐥𝐚	16	241	572	697	3	1	1	151	0
Jim Squires 🇨🇦	19	9407	1979	1340	84	1	1	15120	1
Joaquin Vallejo	20	1000	264	520	19	2	0	4571	0
Connor Carthew	9	7158	358	578	4	1	1	7495	0
natili Rodriguez	17	0	0	0	0	1	1	8	1
Barbara Davies	17	0	1	0	0	1	1	9	1
aslamtarek	3	90	183	1135	2	1	0	1433	0
Square One Network	17	115	492	201	2	1	0	291	0
Seafarers UK	21	6205	13674	2634	203	1	0	8688	0
francesca	22	782	39	331	0	1	1	261	0
Iman Tahamtan	22	923	141	95	0	1	1	206	0
Nessa_esquire	12	1	4	11	0	1	1	2	0
Elmes Homecare	12	375	101	249	0	1	0	293	0
Adnan Rajpoot	16	14600	1732	1473	0	1	1	9075	0
Inkblot Films	14	439	409	707	16	1	1	614	0
The Timah	21	137	14	253	0	1	1	81	0
Jetset Times	20	4289	4175	2893	215	1	0	6951	1
William Huw	15	747	2297	1504	52	4	0	138832	0
Lord Majestic	13	157	35	52	1	1	1	2877	0
AhmedGuenifi	16	46	2	8	0	1	1	31	0
#BoostTorbay	18	46524	9717	8678	292	2	2	61484	1
Quercuspetr	23	7372	1647	1737	78	1	1	12888	0
Patrick Kadas	22	55003	1678	4994	328	2	2	33081	0
Janelle M.	21	1032	273	364	29	1	0	1625	0
Doc Prowler	21	3112	48	406	1	1	1	748	0
Teresa Blackshear	20	15399	387	1229	23	1	1	21131	0
Israel Soliz 🌐	20	5896	2907	1936	490	1	1	32224	0
Emailmeessay.com:Essay Writing Help	17	23691	464	303	1	2	0	17902	0
Teedee 🇳🇬	15	1590	604	588	2	1	1	12710	0
M.C. Webb	11	3762	435	420	24	1	1	8236	0
Charleston Lore	11	257	47	10	0	1	0	362	0
Chris Maddocks	26	13015	898	756	8	1	1	1742	0
Sydney	21	4118	142	305	2	2	1	1631	0
Ferdie kuger	5	278	38	131	0	1	1	426	0
tressesbymariemikel	15	46	17	208	0	1	0	163	0
Linx International Group	20	37	32	125	1	2	2	93	1
Country Boy_MN	18	20981	673	663	27	1	1	4664	1
maybe : boughetto 💅🏾	10	3964	2585	1517	2	1	1	14452	0
Bevv .com	16	2194	957	4437	185	4	0	7451	1
Wicked Bitch of the West	24	3643	72	74	1	1	1	3859	0
Jack l rice	24	35316	4064	4798	47	1	1	37172	0
Erica Lewis	19	4685	232	374	6	1	1	4447	0
Charita carreira	17	0	0	0	0	1	1	29	1
Austen Tosone	19	29497	1356	1162	31	12	0	21578	1
Bob Mentzinger	18	1398	1188	752	82	1	0	15985	0
Jeffrey Bradley Jr.	14	34555	719	518	8	2	1	18762	0
Pondera Solutions	18	155	172	214	5	1	0	704	0
Vivek Y. Kelkar	23	320	1252	4985	16	2	2	1934	0
𝕾𝖒𝖔𝖔𝖙𝖍 𝕺𝖕𝖊𝖗𝖆𝖙𝖔𝖗	9	7592	1689	952	22	1	1	23160	0
Michael Barger	21	27717	3055	4967	348	2	2	401366	0
Maitresse P	18	25012	4717	5196	32	1	1	35181	0
Jean Prytyskacz	26	14057	2484	2540	473	1	1	48931	0
DigitalKube	14	10	410	1	0	1	0	54	1
Chullunka	17	1247	384	272	11	1	1	9018	0
Fortnite_BeSt_PlAyS	14	121	6	105	0	1	0	23	1
Brian Redmond	10	4052	1910	818	5	1	0	2399	0
Siyo Boutique	16	2	12	35	0	1	0	18	1
Marko Vuković	20	10385	343	4120	0	1	1	22405	0
Thabang Mokotla	21	4430	1049	666	19	1	0	19573	0
ImAnIdiot	19	1104	110	249	2	1	0	1229	1
PQS	21	84922	23458	17781	1339	2	2	354792	0
ya_daddy	17	2367	347	281	47	1	1	23177	0
GoHawks	7	139236	3375	2393	0	1	1	38550	0
Dylan Beasley	12	84007	618	1336	9	1	1	52760	0
model Promoter	20	12804	5217	197	19	3	3	19702	1
Tome of Tales 🏳️‍🌈	25	207	346	300	1	1	0	93	1
Pen Parentis	9	1267	1065	544	53	1	0	6812	1
Jordyn Jones RT	9	0	27	3	1	1	1	2356	0
Jen 💧	20	2212	44	3	44	5	5	447	1
KyleRyner73	23	9455	275	1561	45	2	2	22881	1
ModMyMods	21	17046	3247	246	70	1	0	10638	1
Saglio Reta	17	0	0	0	0	1	1	8	1
Pi✨Blessed by ex Fine💕✨	22	5041	28	138	0	1	1	479	1
EFTM : 💻 + 🚘  + 🍷	8	236	5673	8	113	1	0	8525	0
UnicornTO 🦄	8	2789	740	81	53	1	1	16922	0
Kenji Rikitake	23	12669	1481	513	207	1	1	3491	1
KBB Insider	12	94	3272	2765	26	1	1	2852	0
alionqueen	22	21	21	83	0	1	0	131	1
#SuperJoshCharity	19	40137	6819	3626	93	1	1	26292	0
DoubleWide Debris	19	1255	536	437	3	1	1	1519	0
e.	22	11	14	50	0	1	1	19	1
PinkPotato	22	48	2	22	1	1	1	176	1
🌻Tarsianna Nkuranga🌻	8	1746	125	184	2	1	0	2538	0
Bucks Social	15	0	102	0	64	1	0	12155	0
Healalyn06	14	3297	194	378	0	1	1	976	0
Diane Clor	23	15963	507	258	153	1	1	106341	0
Yyyum @Twitchcon 2019	7	593	23	7	0	1	1	749	0
Erin Burke	12	1187	143	304	8	1	0	7264	0
Alonso Stahl	25	2900	587	322	62	1	1	28707	1
Mityumat	24	4295	47	411	0	1	1	2626	0
Jeff Watson YYC 🇨🇦🇮🇱	19	2474	1477	1543	54	1	1	13081	0
jhnyameba	27	453	1329	42	0	2	2	305	0
SomeFawkesGuy	7	399	54	201	0	1	1	336	0
G American Girl	19	24287	1638	2537	6	1	1	38018	0
cajegroup.com	15	690	54	347	0	1	0	971	0
Caffo and drake doggy 🐶	13	8898	432	3209	1	1	1	4484	0
Ryan James sheets	14	4	3	163	0	1	0	19	1
Fairy Tzuyu	21	6330	90	64	1	1	1	2450	0
What happened to him on Nov 6 th? He looks mad!	22	3648	3301	3305	0	1	1	8833	0
Ntombi Khanyile	21	810	537	780	6	1	1	3774	0
Kevin Canetti	22	3641	98	82	14	1	1	2499	0
Mehtap celik	16	1382	69	106	0	1	0	88	0
Utek Appliances	14	874	972	187	0	2	0	878	1
